file,category,width_x,height_y,depth_z
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/tree_v2_01.glb,trees,10.8,17.2,10.8
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/tree_v2_02.glb,trees,15.0,13.0,15.0
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/tree_v2_03.glb,trees,11.4,18.6,11.4
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/bush_v2_01.glb,bushes,4.8,1.9,4.8
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/bush_v2_02.glb,bushes,5.7,2.2,5.7
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/bush_v2_03.glb,bushes,4.3,1.7,4.3
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/bush_v2_04.glb,bushes,6.2,2.05,6.2
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/grass_v2_01.glb,grass,0.9,0.62,0.02
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/grass_v2_02.glb,grass,1.08,0.78,0.02
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/grass_v2_03.glb,grass,0.82,0.56,0.02
blender/generated/la_chutana/raw_vegetation/assets_v2/glb/grass_v2_04.glb,grass,1.0,0.72,0.02
