file,category,source,vertices,triangles,width_x,height_y,depth_z,notes
trees/original/birch_01_lod0.glb,tree_original,birch_01_lod0.glb,617,363,9.31,17.01,9.778,Original asset preserved
trees/original/birch_01_lod3.glb,tree_original,birch_01_lod3.glb,20,12,9.534,18.711,9.711,Original asset preserved
trees/original/birch_02_lod0.glb,tree_original,birch_02_lod0.glb,1483,802,12.025,20.31,12.591,Original asset preserved
trees/original/birch_02_lod3.glb,tree_original,birch_02_lod3.glb,20,16,11.357,20.387,11.357,Original asset preserved
trees/original/birch_03_lod0.glb,tree_original,birch_03_lod0.glb,1220,749,7.555,19.872,7.405,Original asset preserved
trees/original/birch_03_lod3.glb,tree_original,birch_03_lod3.glb,18,14,7.524,19.744,7.524,Original asset preserved
trees/dead/dead_tree_01_standing.glb,tree_dead,dead_tree_01_standing.glb,8,4,2.281,11.455,2.281,Original asset preserved
trees/dead/dead_tree_02_standing.glb,tree_dead,dead_tree_02_standing.glb,8,4,2.139,10.74,2.139,Original asset preserved
trees/dead/dead_tree_03_stump.glb,tree_dead,dead_tree_03_stump.glb,26,18,0.454,0.898,0.454,Original asset preserved
trees/dead/dead_tree_04_fallen.glb,tree_dead,dead_tree_04_fallen.glb,8,4,0.924,1.092,6.058,Original asset preserved
trees/original/fir_01_lod0.glb,tree_original,fir_01_lod0.glb,626,312,3.055,3.973,3.036,Original asset preserved
trees/original/fir_01_lod3.glb,tree_original,fir_01_lod3.glb,10,6,3.14,4.201,3.14,Original asset preserved
trees/original/fir_02_lod0.glb,tree_original,fir_02_lod0.glb,758,266,2.677,4.628,2.588,Original asset preserved
trees/original/fir_02_lod3.glb,tree_original,fir_02_lod3.glb,18,14,2.387,4.785,2.387,Original asset preserved
trees/original/maple_01_lod0.glb,tree_original,maple_01_lod0.glb,1878,966,12.953,16.546,13.923,Original asset preserved
trees/original/maple_01_lod3.glb,tree_original,maple_01_lod3.glb,12,8,13.02,17.484,13.02,Original asset preserved
trees/original/pine_01_lod0.glb,tree_original,pine_01_lod0.glb,2073,712,6.384,21.83,6.272,Original asset preserved
trees/original/pine_01_lod3.glb,tree_original,pine_01_lod3.glb,18,14,8.852,23.226,8.852,Original asset preserved
trees/original/pine_02_lod0.glb,tree_original,pine_02_lod0.glb,2936,1016,12.528,25.378,9.944,Original asset preserved
trees/original/pine_02_lod3.glb,tree_original,pine_02_lod3.glb,16,12,10.011,29.173,10.011,Original asset preserved
trees/original/pine_03_lod0.glb,tree_original,pine_03_lod0.glb,2056,734,10.295,29.4,8.815,Original asset preserved
trees/original/pine_03_lod3.glb,tree_original,pine_03_lod3.glb,16,12,10.011,29.173,10.011,Original asset preserved
trees/original/pine_04_lod0.glb,tree_original,pine_04_lod0.glb,1091,386,6.147,16.7,6.115,Original asset preserved
trees/original/pine_04_lod3.glb,tree_original,pine_04_lod3.glb,18,14,6.682,17.531,6.682,Original asset preserved
trees/original/pine_05_small.glb,tree_original,pine_05_small.glb,9,3,1.306,1.42,1.131,Original asset preserved
trees/conifer/veg_tree_cypress_01_lod0.glb,conifer,pine_01_lod0.glb,2073,712,2.753,25.759,2.793,Tall narrow cypress-like silhouette
trees/conifer/veg_tree_cypress_01_lod3.glb,conifer,pine_01_lod3.glb,18,14,4.28,27.407,4.294,Tall narrow cypress-like silhouette
trees/conifer/veg_tree_cypress_02_lod0.glb,conifer,pine_02_lod0.glb,2936,1016,6.541,27.916,4.691,Narrow cypress-like variant
trees/conifer/veg_tree_cypress_02_lod3.glb,conifer,pine_02_lod3.glb,16,12,5.628,32.091,5.669,Narrow cypress-like variant
trees/conifer/veg_tree_spruce_01_lod0.glb,conifer,fir_01_lod0.glb,626,312,3.257,4.211,3.284,Conical spruce-like silhouette
trees/conifer/veg_tree_spruce_01_lod3.glb,conifer,fir_01_lod3.glb,10,6,3.611,4.454,3.611,Conical spruce-like silhouette
trees/conifer/veg_tree_spruce_02_lod0.glb,conifer,fir_02_lod0.glb,758,266,2.498,5.183,2.504,Tall spruce-like variant
trees/conifer/veg_tree_spruce_02_lod3.glb,conifer,fir_02_lod3.glb,18,14,2.37,5.36,2.369,Tall spruce-like variant
trees/conifer/veg_tree_cedar_01_lod0.glb,conifer,fir_01_lod0.glb,626,312,3.729,3.496,3.738,Broad layered cedar-like silhouette
trees/conifer/veg_tree_cedar_01_lod3.glb,conifer,fir_01_lod3.glb,10,6,4.019,3.697,4.019,Broad layered cedar-like silhouette
trees/conifer/veg_tree_cedar_02_lod0.glb,conifer,pine_03_lod0.glb,2056,734,10.697,27.048,9.294,Broad conifer for mountain/park use
trees/conifer/veg_tree_cedar_02_lod3.glb,conifer,pine_03_lod3.glb,16,12,11.908,26.84,11.936,Broad conifer for mountain/park use
trees/deciduous/veg_tree_oak_01_lod0.glb,deciduous,maple_01_lod0.glb,1878,966,13.328,13.568,12.988,Broad compact oak-like canopy
trees/deciduous/veg_tree_oak_01_lod3.glb,deciduous,maple_01_lod3.glb,12,8,15.444,14.337,15.447,Broad compact oak-like canopy
trees/deciduous/veg_tree_oak_02_lod0.glb,deciduous,birch_03_lod0.glb,1220,749,9.325,17.09,8.631,Irregular oak-like variant
trees/deciduous/veg_tree_oak_02_lod3.glb,deciduous,birch_03_lod3.glb,18,14,9.282,16.98,9.19,Irregular oak-like variant
trees/deciduous/veg_tree_poplar_01_lod0.glb,deciduous,birch_01_lod0.glb,617,363,5.108,21.092,5.285,Tall columnar poplar-like silhouette
trees/deciduous/veg_tree_poplar_01_lod3.glb,deciduous,birch_01_lod3.glb,20,12,5.294,23.202,5.601,Tall columnar poplar-like silhouette
trees/deciduous/veg_tree_poplar_02_lod0.glb,deciduous,birch_02_lod0.glb,1483,802,7.175,23.966,7.465,Columnar roadside tree
trees/deciduous/veg_tree_poplar_02_lod3.glb,deciduous,birch_02_lod3.glb,20,16,6.784,24.057,6.778,Columnar roadside tree
trees/deciduous/veg_tree_elm_01_lod0.glb,deciduous,birch_02_lod0.glb,1483,802,10.057,19.904,10.316,Rounded vase-shaped elm-like tree
trees/deciduous/veg_tree_elm_01_lod3.glb,deciduous,birch_02_lod3.glb,20,16,9.35,19.979,9.359,Rounded vase-shaped elm-like tree
trees/deciduous/veg_tree_eucalyptus_01_lod0.glb,deciduous,birch_01_lod0.glb,617,363,6.438,19.731,6.682,Tall slightly wind-bent eucalyptus-like tree
trees/deciduous/veg_tree_eucalyptus_01_lod3.glb,deciduous,birch_01_lod3.glb,20,12,6.602,21.705,7.17,Tall slightly wind-bent eucalyptus-like tree
trees/deciduous/veg_tree_acacia_01_lod0.glb,deciduous,maple_01_lod0.glb,1878,966,11.794,10.583,11.473,Wide flattened acacia-like crown
trees/deciduous/veg_tree_acacia_01_lod3.glb,deciduous,maple_01_lod3.glb,12,8,14.829,11.183,14.825,Wide flattened acacia-like crown
trees/deciduous/veg_tree_ornamental_round_01_lod0.glb,deciduous,maple_01_lod0.glb,1878,966,11.875,11.251,11.563,Compact round park/street tree
trees/deciduous/veg_tree_ornamental_round_01_lod3.glb,deciduous,maple_01_lod3.glb,12,8,13.472,11.889,13.474,Compact round park/street tree
trees/tropical/veg_tree_fan_palm_01.glb,tree_tropical,procedural,64,52,3.954,7.506,3.954,Low-poly fan palm
trees/tropical/veg_tree_fan_palm_02.glb,tree_tropical,procedural,72,56,4.543,9.006,4.837,Taller fan palm
trees/tropical/veg_tree_date_palm_01.glb,tree_tropical,procedural,64,52,5.191,10.508,5.191,Low-poly date palm
trees/tropical/veg_tree_date_palm_02.glb,tree_tropical,procedural,72,56,6.038,12.005,6.408,Tall date palm
trees/tropical/veg_plant_banana_01.glb,plant_tropical,procedural,46,40,3.06,2.016,3.06,Broadleaf tropical plant
trees/tropical/veg_plant_banana_02.glb,plant_tropical,procedural,50,42,3.836,2.592,3.826,Broadleaf tropical plant
groundcover/veg_ground_sapling_01.glb,groundcover,Object_22,26,18,0.454,0.898,0.454,small vertical ground plant
grass/veg_grass_card_01.glb,grass,Object_24,8,4,0.526,1.11,0.642,very low-cost grass card
shrubs/veg_shrub_round_01.glb,shrubs,Object_25,28,14,1.667,2.571,1.667,small round shrub
shrubs/veg_shrub_wild_01.glb,shrubs,Object_26,18,6,2.352,2.476,2.476,wild shrub
groundcover/veg_ground_weed_01.glb,groundcover,Object_27,9,3,1.306,1.42,1.131,small weed/ground plant
grass/veg_grass_clump_01.glb,grass,Object_28,8,4,1.253,1.253,1.253,grass clump
shrubs/veg_shrub_wild_02.glb,shrubs,Object_29,24,12,1.597,1.75,1.783,wild shrub variant
shrubs/veg_shrub_wild_03.glb,shrubs,Object_30,16,8,1.523,1.669,1.7,wild shrub variant
shrubs/veg_shrub_dense_01.glb,shrubs,Object_31,94,44,1.548,2.288,2.417,dense shrub
shrubs/veg_shrub_dense_02.glb,shrubs,Object_32,228,112,2.417,1.656,2.148,dense shrub
grass/veg_grass_strip_01.glb,grass,Object_33,4,2,0.0,0.577,2.943,extremely low-poly strip/card
grass/veg_grass_strip_02.glb,grass,Object_34,4,2,0.0,0.577,2.946,extremely low-poly strip/card
grass/veg_grass_green_01.glb,grass,procedural,36,18,0.637,0.82,0.645,Instancing-friendly grass clump
grass/veg_grass_green_02.glb,grass,procedural,44,22,0.762,1.019,0.706,Instancing-friendly grass clump
grass/veg_grass_green_03.glb,grass,procedural,52,26,0.639,1.161,0.73,Instancing-friendly grass clump
grass/veg_grass_dry_01.glb,grass,procedural,36,18,0.797,0.811,0.526,Instancing-friendly grass clump
grass/veg_grass_dry_02.glb,grass,procedural,44,22,0.825,1.014,0.786,Instancing-friendly grass clump
grass/veg_grass_dry_03.glb,grass,procedural,52,26,0.77,1.11,0.684,Instancing-friendly grass clump
groundcover/veg_reed_01.glb,groundcover,procedural,192,320,0.411,2.01,0.374,Low-poly reeds
groundcover/veg_reed_02.glb,groundcover,procedural,240,400,0.499,2.19,0.361,Low-poly reeds
groundcover/veg_fern_01.glb,groundcover,procedural,32,16,1.36,0.122,1.36,Low-poly fern
groundcover/veg_fern_02.glb,groundcover,procedural,36,18,1.912,0.176,1.941,Low-poly fern
shrubs/veg_scrub_dry_01.glb,shrubs,procedural,120,200,0.425,0.865,0.475,Dry scrub for arid circuits
shrubs/veg_scrub_dry_02.glb,shrubs,procedural,144,240,0.738,1.295,0.724,Dry scrub for arid circuits
shrubs/veg_hedge_01.glb,shrubs,procedural,24,36,3.05,1.133,0.7,Simple trimmed hedge
