t,rpm,speed_kmh,throttle,gear,slip,surface,level_dbfs
0.0,6500.0,55.0,0.8,2,0.05,asphalt,-12.77
0.02,6510.0,54.8,0.803,2,0.063,asphalt,-18.5
0.04,6520.0,54.7,0.807,2,0.077,asphalt,-10.58
0.06,6530.0,54.5,0.81,2,0.09,asphalt,-27.75
0.08,6540.0,54.3,0.813,2,0.103,asphalt,-20.4
0.1,6547.5,54.2,0.816,2,0.113,asphalt,-17.15
0.12,6557.5,54.0,0.819,2,0.127,asphalt,-23.14
0.14,6567.5,53.9,0.823,2,0.14,asphalt,-37.35
0.16,6577.5,53.7,0.826,2,0.153,asphalt,-34.98
0.18,6587.5,53.5,0.829,2,0.167,asphalt,-17.52
0.2,6597.5,53.4,0.833,2,0.18,asphalt,-18.42
0.22,6607.5,53.2,0.836,2,0.193,asphalt,-23.27
0.24,6617.5,53.0,0.839,2,0.207,asphalt,-16.78
0.26,6627.5,52.9,0.843,2,0.22,asphalt,-28.08
0.28,6637.5,52.7,0.846,2,0.233,asphalt,-12.14
0.3,6647.5,52.5,0.849,2,0.247,asphalt,-21.12
0.32,6657.5,52.4,0.853,2,0.26,grass,-22.11
0.34,6667.5,52.2,0.856,2,0.273,grass,-13.75
0.36,6677.5,52.0,0.859,2,0.287,grass,-19.59
0.38,6687.5,51.9,0.863,2,0.3,grass,-12.13
0.4,6697.5,51.7,0.866,2,0.313,grass,-20.34
0.42,6707.5,51.5,0.869,2,0.327,grass,-14.27
0.44,6717.5,51.4,0.873,2,0.34,grass,-27.09
0.46,6727.5,51.2,0.876,2,0.353,grass,-12.41
0.48,6737.5,51.0,0.879,2,0.367,grass,-17.84
0.5,6747.5,50.9,0.883,2,0.38,grass,-17.2
0.52,6757.5,50.7,0.886,2,0.393,grass,-19.2
0.54,6767.5,50.5,0.889,2,0.407,grass,-25.54
0.56,6777.5,50.4,0.893,2,0.42,grass,-8.41
0.58,6787.5,50.2,0.896,2,0.433,grass,-16.44
0.6,6797.5,50.0,0.899,2,0.447,grass,-16.29
0.62,6823.3,49.9,0.902,2,0.453,grass,-27.7
0.64,6854.4,49.7,0.904,2,0.457,grass,-9.54
0.66,6885.6,49.5,0.906,2,0.46,grass,-28.88
0.68,6916.7,49.3,0.908,2,0.464,grass,-17.09
0.7,6947.8,49.2,0.911,2,0.468,grass,-10.2
0.72,6978.9,49.0,0.913,2,0.472,grass,-32.84
0.74,7010.0,48.8,0.915,2,0.476,grass,-12.6
0.76,7041.1,48.6,0.917,2,0.479,grass,-21.64
