t,rpm,speed_kmh,throttle,gear,slip,surface,level_dbfs
0.0,2200.0,0.0,0.15,1,0.0,asphalt,-27.82
0.02,2276.0,0.7,0.164,1,0.001,asphalt,-31.21
0.04,2352.0,1.4,0.178,1,0.002,asphalt,-22.14
0.06,2428.0,2.1,0.192,1,0.003,asphalt,-15.86
0.08,2504.0,2.8,0.206,1,0.004,asphalt,-23.89
0.1,2561.0,3.3,0.216,1,0.005,asphalt,-23.45
0.12,2637.0,4.0,0.231,1,0.006,asphalt,-19.6
0.14,2713.0,4.7,0.244,1,0.007,asphalt,-18.88
0.16,2789.0,5.4,0.259,1,0.008,asphalt,-24.32
0.18,2865.0,6.1,0.273,1,0.009,asphalt,-26.13
0.2,2941.0,6.8,0.287,1,0.01,asphalt,-14.9
0.22,3017.0,7.5,0.301,1,0.011,asphalt,-27.24
0.24,3093.0,8.2,0.315,1,0.012,asphalt,-27.67
0.26,3169.0,8.9,0.329,1,0.013,asphalt,-30.73
0.28,3245.0,9.6,0.343,1,0.014,asphalt,-23.62
0.3,3321.0,10.3,0.357,1,0.015,asphalt,-23.07
0.32,3397.0,11.0,0.371,1,0.016,asphalt,-24.51
0.34,3473.0,11.7,0.385,1,0.017,asphalt,-45.52
0.36,3549.0,12.4,0.399,1,0.018,asphalt,-24.3
0.38,3625.0,13.1,0.413,1,0.019,asphalt,-18.27
0.4,3701.0,13.8,0.427,1,0.02,asphalt,-18.37
0.42,3777.0,14.5,0.441,1,0.021,asphalt,-26.84
0.44,3853.0,15.2,0.455,1,0.022,asphalt,-32.1
0.46,3929.0,15.9,0.469,1,0.023,asphalt,-38.87
0.48,4005.0,16.6,0.483,1,0.024,asphalt,-22.11
0.5,4081.0,17.3,0.497,1,0.025,asphalt,-15.05
0.52,4157.0,18.0,0.511,1,0.026,asphalt,-35.24
0.54,4233.0,18.7,0.525,1,0.027,asphalt,-18.65
0.56,4309.0,19.4,0.539,1,0.028,asphalt,-17.87
0.58,4385.0,20.1,0.553,1,0.029,asphalt,-16.73
0.6,4461.0,20.8,0.567,1,0.03,asphalt,-24.08
0.62,4537.0,21.5,0.581,1,0.031,asphalt,-17.71
0.64,4613.0,22.2,0.595,1,0.032,asphalt,-17.42
0.66,4689.0,22.9,0.609,1,0.033,asphalt,-29.16
0.68,4765.0,23.6,0.623,1,0.034,asphalt,-38.5
0.7,4841.0,24.3,0.637,1,0.035,asphalt,-15.54
0.72,4917.0,25.0,0.651,1,0.036,asphalt,-33.46
0.74,4993.0,25.7,0.665,1,0.037,asphalt,-17.26
0.76,5069.0,26.4,0.679,1,0.038,asphalt,-33.65
0.78,5145.0,27.1,0.693,1,0.039,asphalt,-15.5
0.8,5221.0,27.8,0.707,1,0.04,asphalt,-20.73
0.82,5297.0,28.5,0.721,1,0.041,asphalt,-31.65
0.84,5373.0,29.2,0.735,1,0.042,asphalt,-15.27
0.86,5449.0,29.9,0.749,1,0.043,asphalt,-16.92
0.88,5525.0,30.6,0.763,1,0.044,asphalt,-46.88
0.9,5601.0,31.3,0.777,1,0.045,asphalt,-22.22
0.92,5677.0,32.0,0.791,1,0.046,asphalt,-29.96
0.94,5753.0,32.7,0.805,1,0.047,asphalt,-22.85
0.96,5829.0,33.4,0.819,1,0.048,asphalt,-24.44
0.98,5905.0,34.1,0.833,1,0.049,asphalt,-45.79
1.0,5981.0,34.8,0.847,1,0.05,asphalt,-15.31
1.02,6060.0,35.9,0.595,1,0.035,asphalt,-15.38
1.04,6160.0,37.4,0.17,2,0.01,asphalt,-27.82
1.06,6234.7,38.5,0.01,2,0.0,asphalt,-40.54
1.08,6304.2,39.5,0.03,2,0.001,asphalt,-31.42
1.1,6373.7,40.5,0.05,2,0.002,asphalt,-31.97
1.12,6443.2,41.5,0.07,2,0.003,asphalt,-39.48
1.14,6512.6,42.5,0.09,2,0.004,asphalt,-19.27
1.16,6582.1,43.4,0.11,2,0.005,asphalt,-25.51
1.18,6651.6,44.4,0.13,2,0.005,asphalt,-20.35
1.2,6721.1,45.4,0.15,2,0.006,asphalt,-30.96
1.22,6790.5,46.4,0.17,2,0.007,asphalt,-20.74
1.24,6860.0,47.4,0.19,2,0.008,asphalt,-23.77
1.26,6929.5,48.4,0.21,2,0.009,asphalt,-25.66
1.28,6998.9,49.4,0.23,2,0.01,asphalt,-35.33
1.3,7068.4,50.4,0.25,2,0.011,asphalt,-19.28
1.32,7137.9,51.4,0.27,2,0.011,asphalt,-120.0
1.34,7207.4,52.3,0.29,2,0.012,asphalt,-24.41
1.36,7276.8,53.3,0.31,2,0.013,asphalt,-19.54
