t,rpm,speed_kmh,throttle,gear,slip,surface,level_dbfs
0.0,6000.0,80.0,0.6,3,0.03,asphalt,-16.46
0.02,6004.0,80.0,0.6,3,0.03,asphalt,-23.53
0.04,6008.0,80.1,0.6,3,0.03,asphalt,-12.99
0.06,6012.0,80.1,0.6,3,0.03,asphalt,-23.79
0.08,6016.0,80.2,0.6,3,0.03,asphalt,-23.56
0.1,6019.0,80.2,0.6,3,0.03,asphalt,-23.29
0.12,6023.0,80.2,0.6,3,0.03,asphalt,-19.95
0.14,6027.0,80.3,0.6,3,0.03,asphalt,-31.52
0.16,6031.0,80.3,0.6,3,0.03,asphalt,-37.57
0.18,6035.0,80.3,0.6,3,0.03,asphalt,-21.78
0.2,6039.0,80.4,0.6,3,0.03,asphalt,-23.28
0.22,6043.0,80.4,0.6,3,0.03,asphalt,-25.95
0.24,6047.0,80.5,0.6,3,0.03,asphalt,-22.14
0.26,6051.0,80.5,0.6,3,0.03,asphalt,-30.4
0.28,6055.0,80.5,0.6,3,0.03,asphalt,-15.13
0.3,6059.0,80.6,0.6,3,0.03,asphalt,-27.9
0.32,6063.0,80.6,0.6,3,0.03,asphalt,-26.74
0.34,6067.0,80.7,0.6,3,0.03,asphalt,-18.68
0.36,6071.0,80.7,0.6,3,0.03,asphalt,-28.73
0.38,6075.0,80.8,0.6,3,0.03,asphalt,-14.7
0.4,6079.0,80.8,0.6,3,0.03,asphalt,-19.36
0.42,6083.0,80.8,0.6,3,0.03,asphalt,-16.3
0.44,6087.0,80.9,0.6,3,0.03,asphalt,-24.28
0.46,6091.0,80.9,0.6,3,0.03,asphalt,-19.08
0.48,6095.0,81.0,0.6,3,0.03,asphalt,-14.62
0.5,6099.0,81.0,0.6,3,0.03,asphalt,-26.23
0.52,6103.0,81.0,0.6,3,0.03,asphalt,-23.06
0.54,6107.0,81.1,0.6,3,0.03,asphalt,-24.64
0.56,6111.0,81.1,0.6,3,0.03,asphalt,-17.34
0.58,6115.0,81.2,0.6,3,0.03,asphalt,-18.62
0.6,6119.0,81.2,0.6,3,0.03,asphalt,-34.19
0.62,6123.0,81.2,0.6,3,0.03,asphalt,-24.04
0.64,6127.0,81.3,0.6,3,0.03,asphalt,-22.15
0.66,6131.0,81.3,0.6,3,0.03,asphalt,-62.57
0.68,6135.0,81.3,0.6,3,0.03,asphalt,-21.19
0.7,6139.0,81.4,0.6,3,0.03,asphalt,-17.14
0.72,6143.0,81.4,0.6,3,0.03,asphalt,-30.19
0.74,6147.0,81.5,0.6,3,0.03,asphalt,-16.48
0.76,6151.0,81.5,0.6,3,0.03,asphalt,-19.17
0.78,6155.0,81.5,0.6,3,0.03,asphalt,-16.3
0.8,6159.0,81.6,0.6,3,0.03,asphalt,-17.34
0.82,6163.0,81.6,0.6,3,0.03,asphalt,-39.07
0.84,6167.0,81.7,0.6,3,0.03,asphalt,-13.96
0.86,6171.0,81.7,0.6,3,0.03,asphalt,-17.91
0.88,6175.0,81.8,0.6,3,0.03,asphalt,-50.94
0.9,6179.0,81.8,0.6,3,0.03,asphalt,-20.54
0.92,6183.0,81.8,0.6,3,0.03,asphalt,-57.54
0.94,6187.0,81.9,0.6,3,0.03,asphalt,-21.92
0.96,6191.0,81.9,0.6,3,0.03,asphalt,-23.98
0.98,6195.0,82.0,0.6,3,0.03,asphalt,-26.91
1.0,6199.0,82.0,0.6,3,0.03,asphalt,-14.93
1.02,6203.8,82.0,0.6,3,0.03,asphalt,-16.79
1.04,6210.0,82.1,0.6,3,0.03,asphalt,-9.28
1.06,6215.0,82.1,0.6,3,0.03,asphalt,-13.15
1.08,6220.0,82.2,0.6,3,0.03,asphalt,-28.59
1.1,6225.0,82.2,0.6,3,0.03,asphalt,-43.45
1.12,6230.0,82.3,0.6,3,0.03,asphalt,-33.25
1.14,6235.0,82.3,0.6,3,0.03,asphalt,-16.38
1.16,6240.0,82.4,0.6,3,0.03,asphalt,-24.89
1.18,6245.0,82.4,0.6,3,0.03,asphalt,-17.82
1.2,6250.0,82.5,0.6,3,0.03,asphalt,-26.46
1.22,6255.0,82.5,0.6,3,0.03,asphalt,-22.88
1.24,6260.0,82.6,0.6,3,0.03,asphalt,-20.29
1.26,6265.0,82.6,0.6,3,0.03,asphalt,-23.52
1.28,6270.0,82.7,0.6,3,0.03,asphalt,-34.46
1.3,6275.0,82.7,0.6,3,0.03,asphalt,-17.24
1.32,6280.0,82.8,0.6,3,0.03,asphalt,-47.28
1.34,6285.0,82.8,0.6,3,0.03,asphalt,-20.75
1.36,6290.0,82.9,0.6,3,0.03,asphalt,-16.54
1.38,6295.0,82.9,0.6,3,0.03,asphalt,-17.75
1.4,6300.0,83.0,0.6,3,0.03,asphalt,-22.97
1.42,6305.0,83.0,0.6,3,0.03,asphalt,-45.6
1.44,6310.0,83.1,0.6,3,0.03,asphalt,-16.91
1.46,6315.0,83.1,0.6,3,0.03,asphalt,-15.51
1.48,6320.0,83.2,0.6,3,0.03,asphalt,-37.05
1.5,6325.0,83.2,0.6,3,0.03,asphalt,-34.99
1.52,6330.0,83.3,0.6,3,0.03,asphalt,-25.1
1.54,6335.0,83.3,0.6,3,0.03,asphalt,-28.85
1.56,6340.0,83.4,0.6,3,0.03,asphalt,-17.67
1.58,6345.0,83.4,0.6,3,0.03,asphalt,-25.72
1.6,6350.0,83.5,0.6,3,0.03,asphalt,-15.06
1.62,6355.0,83.5,0.6,3,0.03,asphalt,-24.81
1.64,6360.0,83.6,0.6,3,0.03,asphalt,-16.48
1.66,6365.0,83.6,0.6,3,0.03,asphalt,-40.22
1.68,6370.0,83.7,0.6,3,0.03,asphalt,-25.88
1.7,6375.0,83.7,0.6,3,0.03,asphalt,-33.51
1.72,6380.0,83.8,0.6,3,0.03,asphalt,-18.92
1.74,6385.0,83.8,0.6,3,0.03,asphalt,-17.94
1.76,6390.0,83.9,0.6,3,0.03,asphalt,-22.33
1.78,6395.0,83.9,0.6,3,0.03,asphalt,-20.51
1.8,6400.0,84.0,0.6,3,0.03,asphalt,-27.58
1.82,6404.0,84.0,0.6,3,0.03,asphalt,-42.7
1.84,6408.0,84.1,0.6,3,0.03,asphalt,-23.21
1.86,6412.0,84.1,0.6,3,0.03,asphalt,-2.05
1.88,6416.0,84.2,0.6,3,0.03,asphalt,-15.15
1.9,6420.0,84.2,0.6,3,0.03,asphalt,-13.59
1.92,6424.0,84.2,0.6,3,0.03,asphalt,-10.71
1.94,6428.0,84.3,0.6,3,0.03,asphalt,-10.3
1.96,6432.0,84.3,0.6,3,0.03,asphalt,-3.91
1.98,6436.0,84.4,0.6,3,0.03,asphalt,-5.57
2.0,6440.0,84.4,0.6,3,0.03,asphalt,-5.38
2.02,6444.0,84.4,0.6,3,0.03,asphalt,-8.85
2.04,6448.0,84.5,0.6,3,0.03,asphalt,-13.28
2.06,6452.0,84.5,0.6,3,0.03,asphalt,-4.61
2.08,6456.0,84.6,0.6,3,0.03,asphalt,-7.3
2.1,6460.0,84.6,0.6,3,0.03,asphalt,-23.62
2.12,6464.0,84.6,0.6,3,0.03,asphalt,-12.92
2.14,6468.0,84.7,0.6,3,0.03,asphalt,-24.24
2.16,6472.0,84.7,0.6,3,0.03,asphalt,-7.94
2.18,6476.0,84.8,0.6,3,0.03,asphalt,-15.85
2.2,6480.0,84.8,0.6,3,0.03,asphalt,-19.95
2.22,6484.0,84.8,0.6,3,0.03,asphalt,-14.03
2.24,6488.0,84.9,0.6,3,0.03,asphalt,-22.3
2.26,6492.0,84.9,0.6,3,0.03,asphalt,-9.22
2.28,6496.0,85.0,0.6,3,0.03,asphalt,-12.61
2.3,6500.0,85.0,0.6,3,0.03,asphalt,-32.48
2.32,6504.0,85.0,0.6,3,0.03,asphalt,-9.81
2.34,6508.0,85.1,0.6,3,0.03,asphalt,-14.59
2.36,6512.0,85.1,0.6,3,0.03,asphalt,-6.83
2.38,6516.0,85.2,0.6,3,0.03,asphalt,-18.45
2.4,6520.0,85.2,0.6,3,0.03,asphalt,-6.16
2.42,6524.0,85.2,0.6,3,0.03,asphalt,-10.74
2.44,6528.0,85.3,0.6,3,0.03,asphalt,-10.13
2.46,6532.0,85.3,0.6,3,0.03,asphalt,-13.88
2.48,6536.0,85.4,0.6,3,0.03,asphalt,-20.34
2.5,6540.0,85.4,0.6,3,0.03,asphalt,-4.74
2.52,6544.0,85.4,0.6,3,0.03,asphalt,-11.95
2.54,6548.0,85.5,0.6,3,0.03,asphalt,-19.25
2.56,6552.0,85.5,0.6,3,0.03,asphalt,-22.05
2.58,6556.0,85.6,0.6,3,0.03,asphalt,-9.31
2.6,6560.0,85.6,0.6,3,0.03,asphalt,-7.3
2.62,6564.0,85.6,0.6,3,0.03,asphalt,-15.56
2.64,6568.0,85.7,0.6,3,0.03,asphalt,-16.98
2.66,6572.0,85.7,0.6,3,0.03,asphalt,-33.38
2.68,6576.0,85.8,0.6,3,0.03,asphalt,-9.74
2.7,6580.0,85.8,0.6,3,0.03,asphalt,-9.92
2.72,6584.0,85.8,0.6,3,0.03,asphalt,-19.66
2.74,6588.0,85.9,0.6,3,0.03,asphalt,-27.42
2.76,6592.0,85.9,0.6,3,0.03,asphalt,-29.69
2.78,6596.0,86.0,0.6,3,0.03,asphalt,-11.73
