t,rpm,speed_kmh,throttle,gear,slip,surface,level_dbfs
0.0,7000.0,70.0,0.7,3,0.03,asphalt,-11.36
0.02,7008.0,70.1,0.7,3,0.03,asphalt,-16.47
0.04,7016.0,70.2,0.7,3,0.03,asphalt,-10.19
0.06,7024.0,70.2,0.7,3,0.031,asphalt,-40.39
0.08,7032.0,70.3,0.7,3,0.031,asphalt,-19.89
0.1,7038.0,70.4,0.7,3,0.031,asphalt,-14.95
0.12,7046.0,70.5,0.7,3,0.031,asphalt,-31.27
0.14,7054.0,70.5,0.7,3,0.031,asphalt,-51.02
0.16,7062.0,70.6,0.7,3,0.032,asphalt,-33.21
0.18,7070.0,70.7,0.7,3,0.032,asphalt,-16.73
0.2,7078.0,70.8,0.7,3,0.032,asphalt,-18.02
0.22,7086.0,70.9,0.7,3,0.032,asphalt,-22.28
0.24,7094.0,70.9,0.7,3,0.032,asphalt,-15.69
0.26,7102.0,71.0,0.7,3,0.033,asphalt,-26.32
0.28,7110.0,71.1,0.7,3,0.033,asphalt,-12.01
0.3,7118.0,71.2,0.7,3,0.033,asphalt,-20.07
0.32,7126.0,71.3,0.7,3,0.033,asphalt,-18.28
0.34,7134.0,71.3,0.7,3,0.033,asphalt,-14.67
0.36,7142.0,71.4,0.7,3,0.034,asphalt,-19.08
0.38,7150.0,71.5,0.7,3,0.034,asphalt,-14.14
0.4,7158.0,71.6,0.7,3,0.034,asphalt,-21.65
0.42,7166.0,71.7,0.7,3,0.034,asphalt,-12.85
0.44,7174.0,71.7,0.7,3,0.034,asphalt,-26.43
0.46,7182.0,71.8,0.7,3,0.035,asphalt,-15.41
0.48,7190.0,71.9,0.7,3,0.035,asphalt,-14.51
0.5,7198.0,72.0,0.7,3,0.035,asphalt,-20.75
0.52,7206.0,72.1,0.7,3,0.035,asphalt,-17.57
0.54,7214.0,72.1,0.7,3,0.035,asphalt,-31.06
0.56,7222.0,72.2,0.7,3,0.036,asphalt,-10.44
0.58,7230.0,72.3,0.7,3,0.036,asphalt,-23.08
0.6,7238.0,72.4,0.7,3,0.036,asphalt,-35.79
0.62,7246.0,72.5,0.7,3,0.036,asphalt,-30.59
0.64,7254.0,72.5,0.7,3,0.036,asphalt,-14.95
0.66,7262.0,72.6,0.7,3,0.037,asphalt,-34.01
0.68,7270.0,72.7,0.7,3,0.037,asphalt,-15.09
0.7,7278.0,72.8,0.7,3,0.037,asphalt,-20.98
0.72,7286.0,72.9,0.7,3,0.037,asphalt,-22.83
0.74,7294.0,72.9,0.7,3,0.037,asphalt,-17.72
0.76,7302.0,73.0,0.7,3,0.038,asphalt,-14.63
0.78,7310.0,73.1,0.7,3,0.038,asphalt,-16.76
0.8,7318.0,73.2,0.7,3,0.038,asphalt,-14.44
0.82,7326.0,73.3,0.7,3,0.038,asphalt,-24.16
0.84,7334.0,73.3,0.7,3,0.038,asphalt,-14.11
0.86,7342.0,73.4,0.7,3,0.039,asphalt,-20.36
