sample,time_s,rpm,crank_phase_deg,cylinder,bank
35,0.000793651,5000.000,504.489807,8,B
141,0.003197279,5000.006,576.598694,4,A
246,0.005578231,5000.019,648.027405,9,B
352,0.007981859,5000.039,0.136680,0,A
458,0.010385488,5000.066,72.246277,5,B
564,0.012789116,5000.100,144.356308,1,A
670,0.015192744,5000.141,216.466888,6,B
776,0.017596372,5000.189,288.578094,2,A
881,0.019977324,5000.244,360.009766,7,B
987,0.022380952,5000.306,432.122559,3,A
1093,0.024784580,5000.375,504.236328,8,B
1199,0.027188209,5000.451,576.351135,4,A
1305,0.029591837,5000.535,648.467102,9,B
1411,0.031995465,5000.625,0.584276,0,A
1516,0.034376417,5000.721,72.022461,5,B
1622,0.036780045,5000.825,144.142456,1,A
1728,0.039183673,5000.937,216.264008,6,B
1834,0.041587302,5001.055,288.387207,2,A
1940,0.043990930,5001.180,360.512146,7,B
2046,0.046394558,5001.312,432.638977,3,A
2151,0.048775510,5001.450,504.087280,8,B
2257,0.051179138,5001.596,576.218079,4,A
2363,0.053582766,5001.749,648.351013,9,B
2469,0.055986395,5001.909,0.486264,0,A
2575,0.058390023,5002.076,72.623840,5,B
2680,0.060770975,5002.248,144.083298,1,A
2786,0.063174603,5002.429,216.225876,6,B
2892,0.065578231,5002.617,288.371094,2,A
2998,0.067981859,5002.811,360.519104,7,B
3104,0.070385488,5003.013,432.669922,3,A
3209,0.072766440,5003.219,504.143036,8,B
3315,0.075170068,5003.435,576.299866,4,A
3421,0.077573696,5003.657,648.459839,9,B
3527,0.079977324,5003.886,0.623093,0,A
3632,0.082358277,5004.120,72.108864,5,B
3738,0.084761905,5004.363,144.278885,1,A
3844,0.087165533,5004.613,216.452469,6,B
3950,0.089569161,5004.870,288.629700,2,A
4055,0.091950113,5005.131,360.129730,7,B
4161,0.094353741,5005.401,432.314514,3,A
4267,0.096757370,5005.679,504.503265,8,B
4372,0.099138322,5005.960,576.015015,4,A
4478,0.101541950,5006.251,648.211914,9,B
4584,0.103945578,5006.550,0.413078,0,A
4690,0.106349206,5006.854,72.618591,5,B
4795,0.108730159,5007.163,144.147293,1,A
4901,0.111133787,5007.481,216.361755,6,B
5007,0.113537415,5007.807,288.580872,2,A
5112,0.115918367,5008.136,360.123322,7,B
5218,0.118321995,5008.475,432.351959,3,A
5324,0.120725624,5008.821,504.585541,8,B
5429,0.123106576,5009.170,576.142639,4,A
5535,0.125510204,5009.529,648.386353,9,B
5641,0.127913832,5009.896,0.635255,0,A
5746,0.130294785,5010.265,72.207848,5,B
5852,0.132698413,5010.645,144.467484,1,A
5957,0.135079365,5011.027,216.050873,6,B
6063,0.137482993,5011.421,288.321625,2,A
6169,0.139886621,5011.821,360.598083,7,B
6274,0.142267574,5012.224,432.198395,3,A
6380,0.144671202,5012.638,504.486542,8,B
6485,0.147052154,5013.054,576.098633,4,A
6591,0.149455782,5013.481,648.398865,9,B
6696,0.151836735,5013.911,0.023104,0,A
6802,0.154240363,5014.352,72.335762,5,B
6908,0.156643991,5014.799,144.654831,1,A
7013,0.159024943,5015.249,216.298050,6,B
7119,0.161428571,5015.709,288.630157,2,A
7224,0.163809524,5016.172,360.286469,7,B
7330,0.166213152,5016.646,432.631989,3,A
7435,0.168594104,5017.123,504.301788,8,B
7541,0.170997732,5017.611,576.661133,4,A
7646,0.173378685,5018.100,648.344788,9,B
7751,0.175759637,5018.597,0.035520,0,A
7857,0.178163265,5019.104,72.416245,5,B
7962,0.180544218,5019.614,144.121399,1,A
8068,0.182947846,5020.135,216.516891,6,B
8173,0.185328798,5020.657,288.236877,2,A
8279,0.187732426,5021.192,360.647522,7,B
8384,0.190113379,5021.728,432.382690,3,A
8489,0.192494331,5022.270,504.125549,8,B
8595,0.194897959,5022.825,576.559570,4,A
8700,0.197278912,5023.380,648.318237,9,B
8805,0.199659864,5023.942,0.084852,0,A
8911,0.202063492,5024.517,72.543159,5,B
9016,0.204444444,5025.092,144.326111,1,A
9121,0.206825397,5025.674,216.117325,6,B
9227,0.209229025,5026.268,288.600739,2,A
9332,0.211609977,5026.863,360.408875,7,B
9437,0.213990930,5027.465,432.225525,3,A
