Time_ms,RPM,NormalizedRPM,Gear,Throttle,Slip,Surface,W_Idle,W_Low,W_Mid,W_High,W_Redline,P_Idle,P_Low,P_Mid,P_High,P_Redline,EngineGain,BedKey,BedGain,Trigger,DominantBand,Crossfade
2612,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
2670,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
2728,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
2787,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
2844,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
2899,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
2958,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3015,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3073,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3123,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3181,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3237,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3288,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3346,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3397,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3449,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3501,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3608,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3659,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3717,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3774,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3833,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3883,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
3941,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
4000,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
4057,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
4114,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
4164,4500.0,0.0000,0,0.000,0.015,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,0.4500,,0.0000,,0,0
4223,4760.0,0.0208,0,0.833,0.015,asphalt,0.9168,0.0832,0.0000,0.0000,0.0000,1.2078,0.6407,0.5808,0.8530,0.6192,0.9081,,0.0000,,0,0
4281,5028.0,0.0422,1,1.000,1.000,asphalt,0.8310,0.1690,0.0000,0.0000,0.0000,1.2758,0.6768,0.6135,0.9011,0.6541,1.0000,,0.0000,,0,1
4338,4500.0,0.0000,1,1.000,1.000,asphalt,1.0000,0.0000,0.0000,0.0000,0.0000,1.1418,0.6057,0.5490,0.8065,0.5854,1.0000,,0.0000,,0,0
4396,4840.0,0.0272,1,1.000,1.000,asphalt,0.8912,0.1088,0.0000,0.0000,0.0000,1.2281,0.6515,0.5905,0.8674,0.6296,1.0000,,0.0000,,0,1
4453,4717.0,0.0174,1,1.000,1.000,asphalt,0.9306,0.0694,0.0000,0.0000,0.0000,1.1969,0.6349,0.5755,0.8453,0.6136,1.0000,,0.0000,,0,0
4512,4692.0,0.0154,1,1.000,1.000,asphalt,0.9386,0.0614,0.0000,0.0000,0.0000,1.1906,0.6316,0.5725,0.8409,0.6104,1.0000,,0.0000,,0,0
4570,4742.0,0.0194,1,1.000,1.000,asphalt,0.9226,0.0774,0.0000,0.0000,0.0000,1.2032,0.6383,0.5786,0.8498,0.6169,1.0000,,0.0000,,0,0
4620,4948.0,0.0358,1,1.000,1.000,asphalt,0.8566,0.1434,0.0000,0.0000,0.0000,1.2555,0.6660,0.6037,0.8867,0.6437,1.0000,,0.0000,,0,1
4670,5209.0,0.0567,1,1.000,1.000,asphalt,0.7731,0.2269,0.0000,0.0000,0.0000,1.3217,0.7012,0.6356,0.9335,0.6776,1.0000,,0.0000,,0,1
4725,5530.0,0.0824,1,1.000,1.000,asphalt,0.6704,0.3296,0.0000,0.0000,0.0000,1.4032,0.7444,0.6747,0.9910,0.7194,1.0000,,0.0000,,0,1
4782,5880.0,0.1104,1,1.000,1.000,asphalt,0.5584,0.4416,0.0000,0.0000,0.0000,1.4920,0.7915,0.7174,1.0538,0.7649,1.0000,,0.0000,,0,1
4837,6240.0,0.1392,1,1.000,1.000,asphalt,0.4432,0.5568,0.0000,0.0000,0.0000,1.5834,0.8400,0.7613,1.1183,0.8118,1.0000,,0.0000,,1,1
4890,6598.0,0.1678,1,1.000,0.959,asphalt,0.3286,0.6714,0.0000,0.0000,0.0000,1.6742,0.8881,0.8050,1.1824,0.8583,1.0000,,0.0000,,1,1
4942,6902.0,0.1922,1,1.000,0.903,asphalt,0.2314,0.7686,0.0000,0.0000,0.0000,1.7513,0.9291,0.8421,1.2369,0.8979,1.0000,,0.0000,,1,1
4994,7203.0,0.2162,1,1.000,0.859,asphalt,0.1350,0.8650,0.0000,0.0000,0.0000,1.8277,0.9696,0.8788,1.2909,0.9370,1.0000,,0.0000,,1,1
5045,7504.0,0.2403,1,1.000,0.821,asphalt,0.0387,0.9613,0.0000,0.0000,0.0000,1.9041,1.0101,0.9156,1.3448,0.9762,1.0000,,0.0000,,1,0
5097,7799.0,0.2639,1,1.000,0.788,asphalt,0.0000,0.9443,0.0557,0.0000,0.0000,1.9789,1.0498,0.9516,1.3977,1.0146,1.0000,,0.0000,,1,0
5150,8087.0,0.2870,1,1.000,0.768,asphalt,0.0000,0.8522,0.1478,0.0000,0.0000,2.0520,1.0886,0.9867,1.4493,1.0520,1.0000,,0.0000,,1,1
5203,8420.0,0.3136,1,1.000,0.792,asphalt,0.0000,0.7456,0.2544,0.0000,0.0000,2.1365,1.1334,1.0273,1.5090,1.0954,1.0000,,0.0000,,1,1
5255,8717.0,0.3374,1,1.000,0.716,asphalt,0.0000,0.6506,0.3494,0.0000,0.0000,2.2119,1.1734,1.0636,1.5622,1.1340,1.0000,,0.0000,,1,1
5307,9017.0,0.3614,1,1.000,0.691,asphalt,0.0000,0.5546,0.4454,0.0000,0.0000,2.2880,1.2138,1.1002,1.6159,1.1730,1.0000,,0.0000,,1,1
5358,9324.0,0.3859,1,1.000,0.674,asphalt,0.0000,0.4563,0.5437,0.0000,0.0000,2.3659,1.2551,1.1376,1.6710,1.2130,1.0000,,0.0000,,2,1
5410,9696.0,0.4157,1,1.000,0.659,asphalt,0.0000,0.3373,0.6627,0.0000,0.0000,2.4603,1.3052,1.1830,1.7376,1.2614,1.0000,,0.0000,,2,1
5461,10026.0,0.4421,1,1.000,0.649,asphalt,0.0000,0.2317,0.7683,0.0000,0.0000,2.5440,1.3496,1.2233,1.7968,1.3043,1.0000,,0.0000,,2,1
5512,10357.0,0.4686,1,1.000,0.641,asphalt,0.0000,0.1258,0.8742,0.0000,0.0000,2.6280,1.3941,1.2637,1.8561,1.3473,1.0000,,0.0000,,2,1
5562,10681.0,0.4945,1,1.000,0.633,asphalt,0.0000,0.0221,0.9779,0.0000,0.0000,2.7102,1.4377,1.3032,1.9142,1.3895,1.0000,,0.0000,,2,0
5613,10994.0,0.5195,1,1.000,0.626,asphalt,0.0000,0.0000,0.9219,0.0781,0.0000,2.7896,1.4799,1.3414,1.9703,1.4302,1.0000,,0.0000,,2,0
5663,11295.0,0.5436,1,1.000,0.646,asphalt,0.0000,0.0000,0.8256,0.1744,0.0000,2.8660,1.5204,1.3781,2.0242,1.4694,1.0000,,0.0000,,2,1
5714,11594.0,0.5675,1,1.000,0.634,asphalt,0.0000,0.0000,0.7299,0.2701,0.0000,2.9419,1.5606,1.4146,2.0778,1.5083,1.0000,,0.0000,,2,1
5772,11938.0,0.5950,1,1.000,0.601,asphalt,0.0000,0.0000,0.6198,0.3802,0.0000,3.0292,1.6069,1.4566,2.1394,1.5530,1.0000,,0.0000,,2,1
5829,12265.0,0.6212,1,1.000,0.589,asphalt,0.0000,0.0000,0.5152,0.4848,0.0000,3.1122,1.6510,1.4965,2.1980,1.5956,1.0000,,0.0000,,2,1
5879,12542.0,0.6434,1,1.000,0.580,asphalt,0.0000,0.0000,0.4266,0.5734,0.0000,3.1824,1.6882,1.5303,2.2477,1.6316,1.0000,,0.0000,,3,1
5929,12816.0,0.6653,1,1.000,0.571,asphalt,0.0000,0.0000,0.3389,0.6611,0.0000,3.2520,1.7251,1.5637,2.2968,1.6672,1.0000,,0.0000,,3,1
5979,13086.0,0.6869,1,1.000,0.563,asphalt,0.0000,0.0000,0.2525,0.7475,0.0000,3.3205,1.7615,1.5966,2.3452,1.7024,1.0000,,0.0000,,3,1
6031,13349.0,0.7079,1,1.000,0.555,asphalt,0.0000,0.0000,0.1683,0.8317,0.0000,3.3872,1.7969,1.6287,2.3923,1.7366,1.0000,,0.0000,,3,1
6082,13606.0,0.7285,1,1.000,0.547,asphalt,0.0000,0.0000,0.0861,0.9139,0.0000,3.4524,1.8315,1.6601,2.4384,1.7700,1.0000,,0.0000,,3,0
6135,13895.0,0.7516,1,1.000,0.538,asphalt,0.0000,0.0000,0.0000,0.9936,0.0064,3.5000,1.8704,1.6953,2.4901,1.8076,1.0000,,0.0000,,3,0
6187,14132.0,0.7706,1,1.000,0.529,asphalt,0.0000,0.0000,0.0000,0.9178,0.0822,3.5000,1.9023,1.7243,2.5326,1.8384,1.0000,,0.0000,,3,0
6238,14357.0,0.7886,1,1.000,0.520,asphalt,0.0000,0.0000,0.0000,0.8458,0.1542,3.5000,1.9326,1.7517,2.5729,1.8677,1.0000,,0.0000,,3,1
6289,14568.0,0.8054,1,1.000,0.511,asphalt,0.0000,0.0000,0.0000,0.7782,0.2218,3.5000,1.9610,1.7775,2.6108,1.8951,1.0000,,0.0000,,3,1
6340,14766.0,0.8213,1,1.000,0.500,asphalt,0.0000,0.0000,0.0000,0.7149,0.2851,3.5000,1.9876,1.8016,2.6462,1.9209,1.0000,,0.0000,,3,1
6393,14980.0,0.8384,1,1.000,0.488,asphalt,0.0000,0.0000,0.0000,0.6464,0.3536,3.5000,2.0164,1.8277,2.6846,1.9487,1.0000,,0.0000,,3,1
6447,15150.0,0.8520,1,1.000,0.477,asphalt,0.0000,0.0000,0.0000,0.5920,0.4080,3.5000,2.0393,1.8485,2.7151,1.9709,1.0000,,0.0000,,3,1
6499,15308.0,0.8646,1,1.000,0.465,asphalt,0.0000,0.0000,0.0000,0.5414,0.4586,3.5000,2.0606,1.8677,2.7434,1.9914,1.0000,,0.0000,,3,1
6552,15480.0,0.8784,1,1.000,0.451,asphalt,0.0000,0.0000,0.0000,0.4864,0.5136,3.5000,2.0837,1.8887,2.7742,2.0138,1.0000,,0.0000,,4,1
6603,15617.0,0.8894,1,1.000,0.439,asphalt,0.0000,0.0000,0.0000,0.4426,0.5574,3.5000,2.1022,1.9054,2.7987,2.0316,1.0000,,0.0000,,4,1
6657,15746.0,0.8997,1,1.000,0.426,asphalt,0.0000,0.0000,0.0000,0.4013,0.5987,3.5000,2.1195,1.9212,2.8219,2.0484,1.0000,,0.0000,,4,1
6707,15869.0,0.9095,1,1.000,0.414,asphalt,0.0000,0.0000,0.0000,0.3619,0.6381,3.5000,2.1361,1.9362,2.8439,2.0644,1.0000,,0.0000,,4,1
6761,16004.0,0.9203,1,1.000,0.399,asphalt,0.0000,0.0000,0.0000,0.3187,0.6813,3.5000,2.1543,1.9527,2.8681,2.0820,1.0000,,0.0000,,4,1
6814,16115.0,0.9292,1,1.000,0.387,asphalt,0.0000,0.0000,0.0000,0.2832,0.7168,3.5000,2.1692,1.9662,2.8880,2.0964,1.0000,,0.0000,,4,1
