Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,Vert_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,TC_Active,DriveTorque,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
50,1.25,4500.0,1,1.000,0.000,0.000,-0.000,0.710,-0.008,70.00,70.00,63.00,63.00,0.0000,4.0795,true,2230.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
100,3.26,4500.0,1,1.000,0.000,0.000,0.000,1.135,-0.022,51.31,51.31,78.32,78.32,0.2857,3.8407,true,2224.8,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
150,4.46,4500.0,1,1.000,0.000,-0.000,0.000,0.681,-0.009,56.61,56.61,74.51,74.51,0.2504,2.7699,true,2355.4,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
200,6.23,4500.0,1,1.000,0.000,-0.000,0.000,1.006,0.015,44.83,44.83,84.63,84.63,0.1217,2.6333,true,1907.7,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
250,7.13,4500.0,1,1.000,0.000,-0.000,-0.000,0.503,-0.073,57.74,57.74,73.44,73.44,0.1482,2.1310,true,2012.7,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
300,8.57,4602.2,1,1.000,0.000,0.000,0.000,0.818,0.048,44.76,44.76,86.43,86.43,0.0663,2.1575,true,1552.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
350,9.25,4540.0,1,1.000,0.000,-0.000,-0.000,0.387,-0.071,64.47,64.47,70.24,70.24,0.0866,2.2162,true,2196.6,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
399,9.83,4743.5,1,1.000,0.000,0.000,0.000,0.326,0.066,47.47,47.47,87.09,87.09,0.0408,1.6805,true,188.0,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
449,10.03,4705.0,1,1.000,0.000,-0.000,0.000,0.111,-0.092,79.96,79.96,60.47,60.47,0.0040,1.5121,true,337.7,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
499,10.55,4758.7,1,1.000,0.000,-0.000,0.000,0.294,0.088,53.09,53.09,86.55,86.55,0.0052,1.4079,true,286.1,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
549,10.70,4688.0,1,1.000,0.000,-0.000,0.000,0.086,-0.060,86.74,86.74,59.20,59.20,0.0033,1.3191,true,355.9,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
600,11.19,4752.1,1,1.000,0.000,-0.000,0.000,0.274,0.120,55.35,55.35,87.75,87.75,0.0000,1.2492,true,278.5,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
650,11.32,4684.8,1,1.000,0.000,-0.000,0.000,0.075,-0.084,86.76,86.76,59.60,59.60,0.0066,1.1898,true,353.3,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
700,11.78,4748.4,1,1.000,0.000,-0.000,0.000,0.260,0.101,54.91,54.91,86.97,86.97,0.0000,1.1400,true,278.3,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
750,11.90,4685.7,1,1.000,0.000,-0.000,0.000,0.066,-0.106,85.45,85.45,58.82,58.82,0.0042,1.0952,true,350.4,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
800,12.34,4749.6,1,1.000,0.000,-0.000,0.000,0.251,0.089,54.25,54.25,85.91,85.91,0.0000,1.0609,true,278.3,"rust_gevp_tri_ray","",20,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
