Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,Vert_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,TC_Active,DriveTorque,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
8,0.00,4501.7,1,0.167,0.000,0.000,-0.000,-0.000,0.000,70.00,70.00,70.00,70.00,0.0000,0.0000,true,0.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
16,0.00,4522.1,1,0.333,0.000,0.000,-0.000,-0.000,0.000,70.00,70.00,70.00,70.00,0.0000,0.0000,true,0.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
25,0.00,4561.5,1,0.500,0.000,0.000,-0.000,-0.000,0.000,70.00,70.00,70.00,70.00,0.0000,0.0000,true,0.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
33,0.03,4612.2,1,0.667,0.000,0.000,-0.000,0.086,-0.000,70.00,70.00,70.00,70.00,0.0000,0.0550,true,160.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
41,0.14,4654.3,1,0.833,0.000,0.000,0.000,0.381,-0.001,69.93,69.93,70.05,70.05,0.0079,0.2344,true,710.6,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
49,0.31,4691.4,1,1.000,0.000,0.000,0.000,0.601,-0.006,69.61,69.61,70.30,70.30,0.0335,0.3317,true,1131.0,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
58,0.52,4714.2,1,1.000,0.000,0.000,0.000,0.689,-0.011,68.98,68.98,70.78,70.78,0.0489,0.3264,true,1321.6,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
66,0.73,4728.2,1,1.000,0.000,0.000,0.000,0.727,-0.013,68.13,68.13,71.44,71.44,0.0396,0.2815,true,1388.8,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
75,0.95,4736.7,1,1.000,0.000,0.000,-0.000,0.729,-0.013,67.15,67.15,72.21,72.21,0.0400,0.2218,true,1393.9,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
83,1.16,4742.0,1,1.000,0.000,0.000,0.000,0.719,-0.012,66.12,66.12,73.04,73.04,0.0379,0.1624,true,1374.9,"rust_gevp_tri_ray","",120,"GEVP_TRI_RAY","","VehicleRigidBody","","Rust GEVP-aligned force solver",2,"{}"
