Time_ms,Speed_kmh,RPM,Gear,Throttle,Brake,Steering,Lat_G,Long_G,FL_Comp,FR_Comp,RL_Comp,RR_Comp,Front_Slip,Rear_Slip,Session_Id,Session_Timestamp_UTC,Physics_Hz,Test_Id,Track_Scene,Vehicle_Node_Path,Vehicle_Scene,Vehicle_Script,Setup_Schema_Version,Setup_JSON
16,0.00,3500.0,1,1.000,0.000,0.000,0.000,-0.005,50.00,50.00,70.00,70.00,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
33,0.19,3500.0,1,1.000,0.000,0.000,0.000,0.324,54.85,54.85,59.47,59.47,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
50,0.12,3500.0,1,1.000,0.000,0.000,0.000,-0.523,54.08,54.08,55.21,55.21,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
66,0.74,3523.8,1,1.000,0.000,0.000,0.000,1.456,52.57,52.57,53.86,53.86,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
83,0.74,3638.2,1,1.000,0.000,0.000,0.000,0.013,51.85,51.85,53.10,53.10,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
99,1.76,3790.7,1,1.000,0.000,0.000,0.000,1.725,51.61,51.61,52.72,52.72,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
116,1.76,3961.9,1,1.000,0.000,0.000,0.000,-0.002,51.70,51.70,52.61,52.61,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
133,2.85,4145.4,1,1.000,0.000,0.000,0.000,1.862,51.94,51.94,52.64,52.64,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
150,2.85,4346.6,1,1.000,0.000,0.000,0.000,-0.004,52.28,52.28,52.79,52.79,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
166,3.98,4570.5,1,1.000,0.000,0.000,0.000,1.919,52.64,52.64,52.94,52.94,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
183,3.98,4832.3,1,1.000,0.000,0.000,0.000,-0.006,53.01,53.01,53.14,53.14,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
199,5.12,5143.3,1,1.000,0.000,0.000,0.000,1.936,53.34,53.34,53.31,53.31,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
216,5.11,5523.0,1,1.000,0.000,0.000,0.000,-0.006,53.66,53.66,53.50,53.50,0.0000,0.0000,"rust_physics_benchmark","2026-08-15T00:00:00Z",60,"PHY_SIM","res://scenes/tracks/test_field/la_chutana_generated.tscn","VehicleRigidBody","res://scenes/vehicles/jordan_197/jordan_197.tscn","res://addons/gevp/scripts/vehicle.gd",1,"{}"
